ResponseIdHash,Q18,code1,code2,code3,code4,code5
c3259392956599cb69c56cf11008ab0d,"Researchers, Scientists, Students, Environmentalists",researchers-scholars,students,activists,,
274ccf2d376e944c272e6b6ee493c63d,The individuals who mostly or soley relied on information from this platform,consumers-stakeholders,,,,
619fe9160723aa29c0967cff62e96c51,I do not think it would harm,na,,,,
4e80f7e563d7d561b403e5269da8ec30,"patients, citizens, those disadvantaged",patients,citizens,minority-vulnerable,,
cf0ff84c4c8c902fed4312f79452badd,"It could harm anybody, anybody that was either Emily's after disaster zones, if that was what we were talking about, or generally any human being.",all,,,,
bcb9f2593721bc603fdbbd50073a5602,All people,all,,,,
0b87da620e35d054fd39c8a7fad732d1,"Creative individuals, artists, writers.",artists-creatives,,,,
c08681761f152d680e9a7925654f6525,"Autistic people, shy people, socially anxious people",nd-people,mental-health,,,
016ede1805476bb449b4896e129ae249,I think that no group would be affected by the non-applicability of the technology,na,,,,
fe233e2441a6759f22243210fcf7a49e,All human groups.,all,,,,
2ce49311b031cfd15806cf7527e32cc5,low skilled,low-skills,,,,
e680b3a6bc63e69156914eeda737b87f,"students, tutors",students,teachers,,,
ce09d3badff9e7808cf77cf1d47b4e3a,"Patients with complex medical conditions, Healthcare professionals, Elderly, Patients in urgent need of care",disability-health-conditions,doctors-nurses,seniors,patients,
9e93816ec47d887b11ea9e90e2761754,Students,students,,,,
ffdd3b62fdaa6c976ada1f608d7a7e67,No one,na,,,,
7a8c6bfa133a5a484bc1b1126476eada,"senior, disabled",seniors,disability-health-conditions,,,
ae7bd2ea37c78ccc8443713792f9622d,"Men, woman, children and elderly ",seniors,youth,men,gender-minority,
4d1bc0230a89034c3956db71249c07c0,potential voters,citizens,,,,
fe6afd166efc31adb84800071e7b93d6,"Immigrants, Minorities, LGBTQ+",immigrants,minority-vulnerable,lgbtq,,
0b4a08fa2ef9537fa294d82a12d074b5,"People with chronic diseases, people that are not good at reading complicated materials",disability-health-conditions,low-skills,,,
