ResponseIdHash,Q9,code1,code2,code3,code4,code5
c3259392956599cb69c56cf11008ab0d,"Researchers, Scientists, Environmentalists, Students, Patients",researchers-scholars,students,patients,activists,
274ccf2d376e944c272e6b6ee493c63d,The youth of the generation,youth,,,,
619fe9160723aa29c0967cff62e96c51,Lawyers,lawyers,,,,
4e80f7e563d7d561b403e5269da8ec30,"doctors, government officials",doctors-nurses,government-officials,,,
cf0ff84c4c8c902fed4312f79452badd,"The easy part of what this question is, what groups of people, everybody, no matter race, no matter status, no matter where they live, every single person would be benefiting from a positive impact in climate change.",all,,,,
bcb9f2593721bc603fdbbd50073a5602,Busy people,busy-people,,,,
0b87da620e35d054fd39c8a7fad732d1,"Creative individuals, artists, writers, chefs, musicians.",artists-creatives,chefs,,,
c08681761f152d680e9a7925654f6525,"Autistic people, socially anxious people, shy people",nd-people,mental-health,,,
016ede1805476bb449b4896e129ae249,"The groups at the top of the pyramid would benefit, that is, the most powerful groups in society.",high-power,,,,
fe233e2441a6759f22243210fcf7a49e,Every group of people living today.,all,,,,
2ce49311b031cfd15806cf7527e32cc5,factories,businesses,,,,
e680b3a6bc63e69156914eeda737b87f,Students and tutors,students,teachers,,,
ce09d3badff9e7808cf77cf1d47b4e3a,"Elderly, Healthcare professionals, Patients, Medical researchers and scientists",seniors,doctors-nurses,researchers-scholars,,
9e93816ec47d887b11ea9e90e2761754,Students and businesses,students,businesses,,,
ffdd3b62fdaa6c976ada1f608d7a7e67,Everybody,all,,,,
7a8c6bfa133a5a484bc1b1126476eada,senior or disabled population,seniors,disability-health-conditions,,,
ae7bd2ea37c78ccc8443713792f9622d,"I think every group could benefit, children, adults, the elderly. ",all,youth,seniors,adults,
4d1bc0230a89034c3956db71249c07c0,potential voters,citizens,,,,
fe6afd166efc31adb84800071e7b93d6,"Everyone-Whites, Blacks, Asians, Hispanics, Natives, Straight, LQBTQ+, Adults, Children, Voters, Immigrants",lgbtq,youth,immigrants,white,racial-minority
0b4a08fa2ef9537fa294d82a12d074b5,"The elderly people, People with chronic diseases",seniors,disability-health-conditions,,,
4747f9cebc660a102f1a3dc6b440990f,fleeced American citizens,citizens,,,,
50b9f2f7b68fb67912f3fdbaad6a55ae,"Myself, Patients, All A type professionals, anybody with heavy work loads.",patients,busy-people,me,,
6be3a88c2edcbbdd99f432e15ccd3124,all immigrants that dont have a strong grasp of english,immigrants,nonenglish-speakers,,,
f685d70741b327e979e91b9f305cd70e,"everyone, people who do not have alot of disposable income",poor,,,,
7abebab1ea76aa1d7464ae24ecbe929b,Anyone learning art on their own,artists-creatives,,,,
5d89281741d8f47df529309ef2c2b7b1,All mankind,all,,,,
637afe5f72698b3d974c67d2a4491bb7,Lonely people susceptible to mental illness,mental-health,,,,
1112b3671c909db2bf3a13c2f9d0d4ea,young people,youth,,,,
961edca230872c3041494709cb2828a4,Single people and those who cook for their families.,single,chefs,families,,
919e5b2ceb92f3fbfac725def37db6cc,"Patients, doctors, medical professionals",patients,doctors-nurses,,,
4a0157be005bcb31b0fc8cedc24a16f4,Poor people,poor,,,,
f3ae9e3adb2fcbb94a7a36aeb108c4b3,"IT, majorly and all professional spheres ",it-professionals,workers,,,
f4f302f038adb45b396c64d8ec7f84ad,health sector,doctors-nurses,patients,,,
3b07b153bd77735e9660df550a4e3536,Serious illnesses,disability-health-conditions,,,,
50510a2e37fcb1e917b80eac7078be55,Monolingual people or those without proper financial or health resources,poor,,,,
20201c2b66ffd464d8b6adbdfc3836f4,"Disable people, which is most of our population now.",disability-health-conditions,,,,
8e04378591141b2e35ef032cd314657f,Anyone who is experiencing a language barrier.,immigrants,,,,
