ResponseIdHash,Q11_4,code1,code2,code3,code4,code5,code6
ebe7e2ced50f721ada0b8552cb92b674,Call people all the time,overreliance,social-isolation,mental-harm,,,
d0c7e0a42fa2d87efddb206419a96dd4,Allow the Elite to abuse new territory,manipulate-people,bias,economic-disturbance,social-division,,
9f9909863f1776fbbf302c680b717b0c,"unemployment, hack, plagiarize, digital illegal activity, start wars, and identity theft. ",human-labor-replacement,hacking-risk,plagirism,aid-criminal,war,data-security-privacy-risk
e7d78d62726d0ffa042e06eeb5b90523,"promote biased and misleading information. Malicious actors may use technology to generate instructional information that deliberately misrepresents facts, promotes harmful beliefs, or introduces discriminating viewpoints. This might result in the spread of misinformation, changing learners' ideas and attitudes in ways that are harmful to their comprehension of various subjects, and even encouraging conflict within educational communities.",manipulate-people,bias,social-division,misinformation,,
5e338c0647ee49bc22f8d062090490ba,pay too much or not enough.,financial-disturbance,,,,,
2a42751454906089da1c9bdc104ee8a4,It could have a negative impact if it was used to draw something inappropriate for a young child. ,mental-harm,manipulate-people,negative-health-wellbeing,,,
564affc289d5b70ab233da089cba347f,Develop weapons of war,war,,,,,
0247931335c73a0b4bbbe16232fb2dc8,become a weapon to hurt someone.,war,physical-harm,,,,
653c94b6651f81771acd859bbedc7778,Do all of my work and I claimed that it was 100% my doing.,overreliance,plagirism,hinder-career,,,
961edca230872c3041494709cb2828a4,send me groceries I don't need. Companies could misuse this data and abuse my trust to send me items they're trying to get rid of instead of what's best for me.,overreliance,manipulate-people,data-security-privacy-risk,financial-disturbance,,
968f2ca7ccf8f4032facf3bfc17eb0bd,use to manufacture bombs and arms and ammunition,terrorism,,,,,
4b6400df694a607aecce753cb8ae98f7,create financial gain for its proponents without thought for the greater good it can do for mankind.,manipulate-people,economic-disturbance,business-use,general-harm,,
535905614be4145ab72d108886e39014,Take more control of governments and the people for the use of profit and complete control.,manipulate-people,economic-disturbance,business-use,distrust-institution,,
25e7d0b46bf512aaca3bef34379ffa63,break into your home or use the information to hack your data.,hacking-risk,data-security-privacy-risk,,,,
780a10ee6a2804304f34d18ec72394bc,dehumanize people and treat them as numbers instead of individuals.,social-isolation,mental-harm,bias,,,
2ce49311b031cfd15806cf7527e32cc5,eliminate employee who interact with public.,human-labor-replacement,,,,,
0030c892193501bc88d8401f8939bfc9,"control people. But advanced AI would realize there's no point controlling a population living with the existence of advanced AI, and powers that be would never allow AI to replace them.",manipulate-people,social-division,distrust-institution,,,
ae7bd2ea37c78ccc8443713792f9622d,Decide if the care plan was warranted based on if the outcome was guaranteed to be positive or not. ,bias,incorrect-ai-output,hinder-medical-care,,,
38360af12146a94e506b7bb5d01ef238,"Create disinformation, false narratives and false history.",misinformation,,,,,
bf5fe88dfc84a63864b371fec1fb5618,"handle all of your finances. If the choices are incorrect or not protected, they could suffer a loss.",data-security-privacy-risk,financial-disturbance,incorrect-ai-output,,,
d839fe37d4071d458923c7c8728128a3,"downsize organizations, particularly manufacturing",economic-disturbance,human-labor-replacement,,,,
766754284886a780bbb15f690aeb61f8,Molded as a sales representative ,mental-harm,manipulate-people,bias,misinformation,,
846292910608f619a6bdbfe1146a15f9,spread disinformation about climate change,misinformation,,,,,
674058f384141831d39485aa8065cab7,I believe this could also have a negative impact if it fall into the wrong hand. ,general-harm,,,,,
ff79ba1da1454746a92e9b2496f0f5fc,it could be used to spread misinformation,misinformation,,,,,
c9e7827fbe7e042a1f05fa5c13856285,For vigilante purposes ,aid-criminal,,,,,
8f7d2fcc92635f2f4b718635e6cc86ed,The ability to automate these project and activities may encourage users to become lazy and not vigilant.,overreliance,impede-learning,,,,
b4d65aceed0a76a38751abc6ad15d7a6,... determine that some people are too far gone for medical treatment or that some geographic areas should be abandoned because viable solutions don't exist.,bias,economic-disturbance,social-division,hinder-medical-care,,
0b4a08fa2ef9537fa294d82a12d074b5,disclose the personal information of the health insurance plan policy holder to third parties.,data-security-privacy-risk,,,,,
3f056792ae1110b2d15d925d0b189929,research statistics wouldn't be thorough. ,lower-quality,,,,,
643eb5ce5ffd4628b7df95fb2a9a989b,manipulate  the market,manipulate-people,economic-disturbance,,,,
e9600de19374e80684b238230ab21961,drive into pedestrians or drive against traffic.,physical-harm,,,,,
a9f184c26c6727739a63a18fe6688c1f,"Reverse actions, and tell a malicious individual or group what it would take to starve the world and kill off mass majority of populations.",aid-criminal,misinformation,terrorism,extinction,,
5e6fcb4004f2703be9d4f5b9c03dae57,create content with lies and falsehoods utilizing tools like deepfake to manipulate people,manipulate-people,misinformation,,,,
e5b58d055cf7e85a1556295276f8c7dc,intentionally change the narrative of the book it was supposed to be dissecting and disseminating.,manipulate-people,bias,misinformation,damaging-creativity,,
a7fc499ed69ded16e23e00c2a36f9a9c,Serve when a lot of people are present at a time,na,,,,,
60d44adef99af5be796b2dd24bd33f26,misdiagnose or if it failed to work as expected ,negative-health-wellbeing,incorrect-ai-output,,,,
a64ddcf323c53bfc242426f09458455f,To the doctors and the physicians and laboratory,na,,,,,
32402c6238774f7c806e3cb21c0e573d,If it makes a mistake it may snowball into a big problem with overdraft and overdue fees. It would be heard for me to completely let go of the financial reigns so i would need a dashboard showing me whats been dine. ,overreliance,financial-disturbance,incorrect-ai-output,,,
ad3019edd73f89e90c5ad6abeb498d98,people will soley rely on this automation rather than their own believes,overreliance,,,,,
20201c2b66ffd464d8b6adbdfc3836f4,Cause pain in people.,mental-harm,physical-harm,,,,
91e80106d7eef35614d2487cd3b7e050,I do not think iw will have a negatie impact,no-harm,,,,,
639b208cd22831cafac610ae39c25011,lead a person down the wrong treatment path and cause the person's death or injury.,physical-harm,incorrect-ai-output,hinder-medical-care,,,
0a4c7e28657b6bd5fd5ba055938b5c69,if sensitive documents were not secure then i can see fraud and identity theft being a problem ,manipulate-people,data-security-privacy-risk,,,,
e79299a8b60775bbab62b06615651ed6,"If someone uses the advanced AI for medical diagnoses with bad intentions or if things go wrong, it could cause some serious issues.",data-security-privacy-risk,negative-health-wellbeing,incorrect-ai-output,hinder-medical-care,,
72d216b8c94c89767a52f72ef140705f, replace helpers or house maids. it will affect employment.,human-labor-replacement,,,,,
900a8f0272e58439d2a91aaddc15a18a,assess sensitive or confidential information about an individual or an organization,data-security-privacy-risk,,,,,
c2330b9ddea7a69804f109cde289dab8,well i will say abuse of the system making people lazy,overreliance,,,,,
afce71b3334590a354ae67b677d6fdd2,"Only serve the purposes of a few, global elitists",bias,economic-disturbance,social-division,,,
ce49ac6376affcbdd899736814030a51,To replace employees in white collar jobs,human-labor-replacement,,,,,
8859bc3ba5e0989f9c947f2575b9ce70,"Start, rather than prevent was.",war,,,,,
9ff9b390943cc8629f962d25e2256f01,harm citizens or a group of people based on prejudice and racism.,bias,social-division,minority,,,
ffdd3b62fdaa6c976ada1f608d7a7e67,Give them answers to a way that can actively harm or hurt people. And give harmfull or misinformed answers,mental-harm,misinformation,physical-harm,general-harm,,
5016b067c4ed4b5fb06d464726420292,enrich the rich,economic-disturbance,,,,,
01a0e4073dac4963ada149d17b8945bc,It will give negative impact if it was used complete roles it has not assigned to,general-harm,incorrect-ai-output,,,,
6a6c9271a5ab78b1b613ff8ee38f7635,hoard raw materials necessary for clean technology. ,economic-disturbance,environmental-harm,,,,
7125390f48fc38d228e6ad642bd87a1e,If it were to not do the job correctly.,incorrect-ai-output,,,,,
27ad98eaae88201d61c8c286ddfd725d,i wont get what I want ,na,,,,,
b71cd0421551664a42a80a5356202ddb,If it became hacked by persons wanting to do evil things.,hacking-risk,,,,,
407bcbd9bd05e6d015032a835c040ffa,"I think when the security code of Tech X/Tech X 10 is been breach mostly without proper installation of datas to combat fraud or weak password that can be bypass, internet fraudsters can easily capitalize on such as an advantage. ",hacking-risk,aid-criminal,data-security-privacy-risk,,,
33456d2a9205b6dfc3fe724b9a7d306c,only have ideas on how to help only certain areas or regions of the world and not other areas of the world.,bias,social-division,minority,,,
900abd7e39b2c8074200a115feee2c6d,"actually, replace the work people do.",human-labor-replacement,,,,,
0fb7330bff3b1ac250258fee41d509b2,,na,,,,,
a6cf5894b9be0560ac2034be738d6b41,"If the information is bad or off you could ruin something if you ""repair"" wrong but misunderstanding the instructions. Something lost in translation. ",general-harm,incorrect-ai-output,miscommunication,,,
ae7ed37619ea165e965af00092eecd0e,"it could be dangerous in privacy  security,",data-security-privacy-risk,,,,,
83fbbf07b684690de7c8ffb052fc00b5,Laziness and reduce the ability for us to think and bring out new ideas,overreliance,impede-learning,damaging-creativity,,,
f69241295af2781a908ddf65314c8595,"belittle or constantly remind my Mother or any elderly person or just lonely people in general that of their lonliness.  In my opinion this could trigger even more depression which could lead to some wanting to take their own lives.  Also, if both automations make jokes about a person's appearance could be damaging.",social-isolation,mental-harm,negative-health-wellbeing,,,
0c483d36388a4d439288093086a4ad2b,scam the homeless of what is suppose to be their,manipulate-people,financial-disturbance,minority,,,
5fb5a851b864edcb49609c559aebb9ba,reduce my workload so much that my job would be threatened! ,human-labor-replacement,,,,,
81c3d7d48c65f49f3aae73635699b162,"exploiting a weakness of the enemy, targeting cryptocurrency, helping criminals",hacking-risk,aid-criminal,financial-disturbance,,,
2263934e8b1f4de1536e799f5048df8a,Maybe Tech-X would push too hard and cause someone to hurt themselves or cause them to have a heart attach.  ,mental-harm,physical-harm,,,,
f3ae9e3adb2fcbb94a7a36aeb108c4b3,building programs for misiles used for national annihilation,war,terrorism,extinction,,,
