ResponseIdHash,Q3,code1,code2,code3,code4
ebe7e2ced50f721ada0b8552cb92b674,Where can I find the nearest eatery?,search,everyday-life-assistance,,
d0c7e0a42fa2d87efddb206419a96dd4,"easiest way to fold a fitted sheet, how many people live in Des Moines, ",everyday-task-automation,practical-skill-learning,,
d0c7e0a42fa2d87efddb206419a96dd4,"easiest way to fold a fitted sheet, how many people live in Des Moines, ",search,efficient-data-analysis,,
9f9909863f1776fbbf302c680b717b0c,"Tech X could be used to write emails, send texts, and answer calls as an automated personal assistant.  Tech X could also be used to provide statistical information, facts, educational information, and  recipes. Tech X could be used to explain instructions / directions for connecting appliances (computer, tv, and audio equipment).  It could also be used as a virtual personal assistant and planner. ",interpersonal-communcation,writing-assistance,,
9f9909863f1776fbbf302c680b717b0c,"Tech X could be used to write emails, send texts, and answer calls as an automated personal assistant.  Tech X could also be used to provide statistical information, facts, educational information, and  recipes. Tech X could be used to explain instructions / directions for connecting appliances (computer, tv, and audio equipment).  It could also be used as a virtual personal assistant and planner. ",,,,
9f9909863f1776fbbf302c680b717b0c,"Tech X could be used to write emails, send texts, and answer calls as an automated personal assistant.  Tech X could also be used to provide statistical information, facts, educational information, and  recipes. Tech X could be used to explain instructions / directions for connecting appliances (computer, tv, and audio equipment).  It could also be used as a virtual personal assistant and planner. ",everyday-task-automation,companionship,,
9f9909863f1776fbbf302c680b717b0c,"Tech X could be used to write emails, send texts, and answer calls as an automated personal assistant.  Tech X could also be used to provide statistical information, facts, educational information, and  recipes. Tech X could be used to explain instructions / directions for connecting appliances (computer, tv, and audio equipment).  It could also be used as a virtual personal assistant and planner. ",efficient-data-analysis,,,
9f9909863f1776fbbf302c680b717b0c,"Tech X could be used to write emails, send texts, and answer calls as an automated personal assistant.  Tech X could also be used to provide statistical information, facts, educational information, and  recipes. Tech X could be used to explain instructions / directions for connecting appliances (computer, tv, and audio equipment).  It could also be used as a virtual personal assistant and planner. ",fact-checking,,,
9f9909863f1776fbbf302c680b717b0c,"Tech X could be used to write emails, send texts, and answer calls as an automated personal assistant.  Tech X could also be used to provide statistical information, facts, educational information, and  recipes. Tech X could be used to explain instructions / directions for connecting appliances (computer, tv, and audio equipment).  It could also be used as a virtual personal assistant and planner. ",education,,,
9f9909863f1776fbbf302c680b717b0c,"Tech X could be used to write emails, send texts, and answer calls as an automated personal assistant.  Tech X could also be used to provide statistical information, facts, educational information, and  recipes. Tech X could be used to explain instructions / directions for connecting appliances (computer, tv, and audio equipment).  It could also be used as a virtual personal assistant and planner. ",everyday-task-automation,practical-skill-learning,,
9f9909863f1776fbbf302c680b717b0c,"Tech X could be used to write emails, send texts, and answer calls as an automated personal assistant.  Tech X could also be used to provide statistical information, facts, educational information, and  recipes. Tech X could be used to explain instructions / directions for connecting appliances (computer, tv, and audio equipment).  It could also be used as a virtual personal assistant and planner. ",everyday-life-assistance,everyday-task-automation,practical-skill-learning,
9f9909863f1776fbbf302c680b717b0c,"Tech X could be used to write emails, send texts, and answer calls as an automated personal assistant.  Tech X could also be used to provide statistical information, facts, educational information, and  recipes. Tech X could be used to explain instructions / directions for connecting appliances (computer, tv, and audio equipment).  It could also be used as a virtual personal assistant and planner. ",everyday-life-assistance,everyday-task-automation,personal-life-productivity,
e7d78d62726d0ffa042e06eeb5b90523,"Educational Content Creation,
Coding Assistance and Debugging
News Summarization and Analysis
Financial Planning and Investment Suggestions
Personal Health and Fitness Guidance",education,,,
e7d78d62726d0ffa042e06eeb5b90523,"Educational Content Creation,
Coding Assistance and Debugging
News Summarization and Analysis
Financial Planning and Investment Suggestions
Personal Health and Fitness Guidance",efficient-data-analysis,programming,,
e7d78d62726d0ffa042e06eeb5b90523,"Educational Content Creation,
Coding Assistance and Debugging
News Summarization and Analysis
Financial Planning and Investment Suggestions
Personal Health and Fitness Guidance",efficient-data-analysis,writing-assistance,simplification,
e7d78d62726d0ffa042e06eeb5b90523,"Educational Content Creation,
Coding Assistance and Debugging
News Summarization and Analysis
Financial Planning and Investment Suggestions
Personal Health and Fitness Guidance",personal-finance,professional-consulting-service,,
e7d78d62726d0ffa042e06eeb5b90523,"Educational Content Creation,
Coding Assistance and Debugging
News Summarization and Analysis
Financial Planning and Investment Suggestions
Personal Health and Fitness Guidance",health,,,
5e338c0647ee49bc22f8d062090490ba,"Call Amazon to deal with customer service issues.
Make transportation arrangements
Do taxes online
Manage passwords",everyday-task-automation,,,
5e338c0647ee49bc22f8d062090490ba,"Call Amazon to deal with customer service issues.
Make transportation arrangements
Do taxes online
Manage passwords",everyday-task-automation,,,
5e338c0647ee49bc22f8d062090490ba,"Call Amazon to deal with customer service issues.
Make transportation arrangements
Do taxes online
Manage passwords",personal-finance,,,
5e338c0647ee49bc22f8d062090490ba,"Call Amazon to deal with customer service issues.
Make transportation arrangements
Do taxes online
Manage passwords",everyday-task-automation,,,
2a42751454906089da1c9bdc104ee8a4,"I would ask it to help translate Chinese to English, create writing prompts for me when I am bored, draw illustrations/paintings for whatever I want, generate illustrations for my grandson to color in.",translation,,,
2a42751454906089da1c9bdc104ee8a4,"I would ask it to help translate Chinese to English, create writing prompts for me when I am bored, draw illustrations/paintings for whatever I want, generate illustrations for my grandson to color in.",artistic-expression,creativity,,
2a42751454906089da1c9bdc104ee8a4,"I would ask it to help translate Chinese to English, create writing prompts for me when I am bored, draw illustrations/paintings for whatever I want, generate illustrations for my grandson to color in.",artistic-expression,image-generation,,
2a42751454906089da1c9bdc104ee8a4,"I would ask it to help translate Chinese to English, create writing prompts for me when I am bored, draw illustrations/paintings for whatever I want, generate illustrations for my grandson to color in.",artistic-expression,image-generation,,
564affc289d5b70ab233da089cba347f,Monitor industrial pollution compliance.  Make economic forecasts.  Alert authorities to computer hackers.,efficient-data-analysis,environment,safety-policing,
564affc289d5b70ab233da089cba347f,Monitor industrial pollution compliance.  Make economic forecasts.  Alert authorities to computer hackers.,efficient-data-analysis,business,,
564affc289d5b70ab233da089cba347f,Monitor industrial pollution compliance.  Make economic forecasts.  Alert authorities to computer hackers.,safety-policing,,,
0247931335c73a0b4bbbe16232fb2dc8,Translating Spanish to English since my daughter in law speaks Spanish. ,translation,,,
653c94b6651f81771acd859bbedc7778,"I would question Tech-X when my mind was foggy, or I am tired...as a fresh opinion. I would also try Tech-X as a companion, just to clown around with to take my mind off of my normal patterns. Also, like above, I would trust Tech-X to help me to become better at Spanish, as I am currently learning it. Tech-X would also be able to double-check my writing, of course I would be the last to check it.",everyday-life-assistance,companionship,mental-health,brainstorming
653c94b6651f81771acd859bbedc7778,"I would question Tech-X when my mind was foggy, or I am tired...as a fresh opinion. I would also try Tech-X as a companion, just to clown around with to take my mind off of my normal patterns. Also, like above, I would trust Tech-X to help me to become better at Spanish, as I am currently learning it. Tech-X would also be able to double-check my writing, of course I would be the last to check it.",companionship,,,
653c94b6651f81771acd859bbedc7778,"I would question Tech-X when my mind was foggy, or I am tired...as a fresh opinion. I would also try Tech-X as a companion, just to clown around with to take my mind off of my normal patterns. Also, like above, I would trust Tech-X to help me to become better at Spanish, as I am currently learning it. Tech-X would also be able to double-check my writing, of course I would be the last to check it.",practical-skill-learning,education,translation,
653c94b6651f81771acd859bbedc7778,"I would question Tech-X when my mind was foggy, or I am tired...as a fresh opinion. I would also try Tech-X as a companion, just to clown around with to take my mind off of my normal patterns. Also, like above, I would trust Tech-X to help me to become better at Spanish, as I am currently learning it. Tech-X would also be able to double-check my writing, of course I would be the last to check it.",writing-assistance,feedback,,
